0,29.4412461,34.841524,1@32@2,906119@15@2,
1,29.44148,34.8417302,2@114@2,0@32@2,
2,29.442425,34.8422023,3@203@2,1@114@2,
3,29.444021,34.8432352,4@486@2,2@203@2,
4,29.4476115,34.8460974,5@751@2,3@486@2,
5,29.4529769,34.8508125,6@165@2,4@751@2,
6,29.454155,34.8518639,7@13@2,5@165@2,
7,29.4542612,34.8519374,6@13@2,906032@23@2,
8,29.492126,34.8987881,9@30@2,829462@230@2,
9,29.4920116,34.8990719,10@157@2,8@30@2,
10,29.4912583,34.9004446,11@96@2,9@157@2,
11,29.4909371,34.901371,12@63@2,10@96@2,
12,29.4908522,34.9020228,13@75@2,11@63@2,
13,29.490986,34.9027843,12@75@2,37370@46@2,
14,29.5507713,34.9534636,15@15@2,30@15@2,23338@37@2
15,29.5507154,34.9536124,16@11@2,14@15@2,
16,29.5507159,34.9537318,17@6@2,15@11@2,
17,29.5507317,34.953796,18@11@2,16@6@2,
18,29.5507859,34.953898,19@11@2,17@11@2,
19,29.5508671,34.9539726,20@8@2,18@11@2,
20,29.5509382,34.9540044,21@11@2,19@8@2,23228@25@8
21,29.5510419,34.9540126,22@6@2,20@11@2,
22,29.5510952,34.9540004,23@8@2,21@6@2,
23,29.5511683,34.9539628,24@15@2,22@8@2,
24,29.5512672,34.9538471,25@9@2,23@15@2,34373@32@2
25,29.5512995,34.9537591,26@16@2,24@9@2,
26,29.5513006,34.9535866,27@11@2,25@16@2,
27,29.5512581,34.9534776,28@15@2,26@11@2,
28,29.5511549,34.9533693,29@15@2,27@15@2,23184@23@8
29,29.5510197,34.9533267,30@16@2,28@15@2,
30,29.5508784,34.9533617,14@15@2,29@16@2,
31,31.7808326,35.2213279,32@20@11,535085@93@11,
32,31.7806536,35.2213603,33@16@11,,
33,31.7805229,35.2214382,34@42@11,,
34,31.7801791,35.221643,35@63@11,,
35,31.7796838,35.2219742,36@39@11,,
36,31.7793736,35.2221817,37@33@11,,
37,31.7791072,35.2223454,38@11@11,,
38,31.7790219,35.2224072,39@43@11,,
39,31.77867,35.2226169,40@27@11,673@31@11,
40,31.7784431,35.2227319,41@13@11,,
41,31.7783298,35.2227794,871850@11@8,,
42,31.7810011,35.2171126,43@30@11,,
43,31.7810354,35.2174379,44@37@11,,
44,31.7810738,35.2178333,45@52@11,,
45,31.7811296,35.2183822,46@15@11,279@43@11,
46,31.7811463,35.218547,536354@6@11,,
47,31.7778594,35.2033203,48@18@8,6936@61@8,663081@83@8
48,31.7779786,35.2034497,49@12@8,47@18@8,
49,31.7780115,35.2035751,50@23@8,48@12@8,
50,31.7779895,35.2038218,51@30@8,49@23@8,
51,31.777986,35.2041451,50@30@8,663084@12@8,
52,31.7747593,35.2031589,53@76@12,129@13@8,128@22@8
53,31.7743051,35.2025511,54@33@12,52@76@12,
54,31.7740796,35.2023092,55@50@12,53@33@12,
55,31.7737284,35.2019712,54@50@12,,
56,31.7858219,35.1980384,57@29@8,797677@12@4,
57,31.7856449,35.1982675,58@25@8,,
58,31.7854882,35.1984704,59@13@8,,
59,31.785405,35.1985772,60@27@8,596788@21@1,
60,31.7852229,35.198777,596795@23@8,,
61,31.7957107,35.2198643,62@118@8,7137@119@4,69@6@4
62,31.7948769,35.2206425,63@170@8,51970@111@11,
63,31.7936366,35.2217054,543208@1@8,698714@88@8,94911@79@8
64,31.8016391,35.2057519,65@18@1,97@29@4,
65,31.8016012,35.2055636,66@12@1,877548@36@4,
66,31.8015617,35.2054413,67@17@1,,
67,31.8014796,35.2052804,68@45@1,,
68,31.8012671,35.2048636,877580@36@1,,
69,31.7957351,35.2199248,70@118@4,7138@38@4,61@6@4
70,31.7965671,35.219143,71@156@4,,
71,31.7976431,35.2180809,72@15@4,,
72,31.7977456,35.2179684,73@21@4,38496@27@11,1469@8@11
73,31.7978871,35.2178153,74@80@4,,
74,31.7984091,35.2172226,75@112@4,,
75,31.7991443,35.2164097,76@97@4,,
76,31.7996987,35.2156115,77@108@4,,
77,31.8000181,35.2145261,78@79@4,,
78,31.7999807,35.2136839,79@171@4,7122@8@8,865772@60@11
79,31.7996239,35.2119198,80@76@4,,
80,31.7995789,35.2111096,81@3@4,,
81,31.7995823,35.2110744,82@46@4,94980@29@11,94979@11@11
82,31.7996335,35.2105861,83@39@4,,
83,31.7996959,35.2101801,84@57@4,,
84,31.7998201,35.2095865,85@11@4,701499@13@9,
85,31.7998413,35.2094681,86@41@4,,
86,31.7999736,35.209055,87@21@4,698776@35@8,
87,31.8000374,35.2088458,88@29@4,698780@14@8,
88,31.8001385,35.2085538,89@7@4,,
89,31.8001655,35.2084789,90@107@4,,
90,31.8006045,35.2074682,91@23@4,,
91,31.8007169,35.2072564,92@19@4,,
92,31.8008079,35.2070849,93@27@4,,
93,31.8009404,35.2068354,94@25@4,,
94,31.801075,35.2066137,95@29@4,,
95,31.8012282,35.2063592,96@48@4,,
96,31.8014992,35.2059553,64@24@4,,
97,31.8018044,35.2055117,98@35@4,,
98,31.802029,35.2052474,99@66@4,,
99,31.8024371,35.2047352,100@42@4,,
